temp,humidity,windspeed,count
20.3,78.3,15.32,12
13.78,63.96,12.99,14
12.13,67.54,10.91,11
14.52,72.71,1.76,18
14.86,58.77,10.99,24
17.77,68.36,1.87,26
9.2,59.68,0.27,22
18.66,72.69,4.2,26
13.39,67.16,5.1,12
12.38,68.5,14.1,13
10.42,60.03,2.45,29
8.29,72.11,23.27,6
15.52,83.31,6.73,18
13.06,58.73,5.36,30
8.77,64.25,5.34,17
8.55,68.99,1.95,15
11.23,73.59,4.49,8
17.04,62.99,7.1,19
11.06,44.97,11.15,19
7.13,78.68,4.35,11
10.7,74.05,6.68,15
10.42,54.19,10.01,18
2.96,63.43,4.24,7
10.69,81.0,11.64,10
9.97,80.2,8.68,8
12.56,76.29,10.41,15
15.82,67.53,0.99,34
13.47,69.76,4.66,18
9.09,68.2,3.47,21
6.39,78.43,0.76,15
17.25,62.55,10.97,25
9.52,63.27,1.43,20
9.21,77.94,14.43,8
8.91,69.66,5.63,16
9.4,81.19,8.11,9
8.2,64.94,3.55,17
6.74,70.01,11.59,11
6.64,63.22,5.47,7
8.02,70.8,8.43,8
6.32,59.05,12.44,7
5.64,67.12,9.24,12
7.94,59.66,4.27,12
6.69,76.84,5.5,7
11.81,77.15,10.65,14
0.0,57.71,4.73,8
10.26,82.35,5.88,7
10.57,91.79,7.31,11
0.46,72.3,3.56,10
5.5,66.93,5.42,15
5.27,94.77,6.69,9
2.02,61.74,6.6,5
3.77,72.57,6.44,6
2.64,73.96,4.38,10
11.09,83.4,6.92,8
8.51,75.63,13.88,2
9.39,68.87,5.48,13
7.61,65.35,6.86,7
1.94,70.33,5.41,4
3.63,65.11,13.4,9
6.55,73.65,4.74,10
1.3,68.85,2.75,15
7.0,61.5,9.47,10
4.03,83.58,4.56,8
3.52,69.65,9.11,6
6.67,63.57,3.99,14
5.77,72.45,2.23,14
3.26,74.43,5.62,8
7.73,59.99,1.58,18
0.92,76.69,7.2,9
5.92,65.73,10.31,7
5.77,87.86,19.02,4
2.98,78.43,3.86,5
4.81,71.11,3.15,7
0.0,68.41,10.14,5
6.46,73.59,9.65,6
3.06,79.39,10.09,4
1.99,74.33,19.21,3
6.64,72.85,5.88,9
1.33,75.1,21.78,3
0.0,69.85,4.44,6
0.0,71.98,3.38,5
5.11,58.07,3.12,11
0.0,82.59,2.96,9
8.47,77.22,19.81,0
0.0,68.67,12.93,7
8.23,90.08,18.67,6
3.74,75.61,0.93,7
2.79,66.64,1.85,11
1.42,81.8,4.58,5
4.24,78.15,4.04,6
2.91,78.14,6.88,11
6.32,71.58,5.99,11
3.35,78.6,2.4,9
3.45,72.91,3.69,7
1.91,79.45,4.79,7
2.83,59.76,2.07,7
3.93,71.52,5.28,4
0.0,88.76,2.2,1
0.0,68.84,5.17,8
5.28,70.13,2.73,7
3.58,71.36,10.96,7
2.54,65.2,7.87,9
3.18,57.23,7.73,5
4.19,73.03,9.54,8
1.57,75.93,8.17,4
0.89,74.39,11.01,8
3.85,73.62,6.46,11
0.38,75.09,9.45,4
4.58,82.88,7.56,7
0.0,73.13,7.52,5
6.55,70.02,1.47,13
4.94,72.31,2.45,12
4.36,79.15,6.93,4
6.6,85.75,3.13,12
8.72,69.37,5.49,16
6.84,75.13,3.8,11
0.0,76.98,3.92,4
0.11,66.27,5.97,8
2.16,74.3,4.68,11
4.19,62.34,14.26,6
5.76,59.84,1.63,16
2.12,76.85,8.62,13
4.95,70.77,9.82,13
2.22,75.38,14.91,5
2.76,73.53,6.08,9
0.47,65.78,9.16,9
2.03,73.14,14.14,9
0.86,63.54,3.55,11
2.1,84.44,2.74,9
8.3,62.37,6.29,12
2.41,71.55,4.87,7
13.28,64.68,9.29,10
6.99,77.47,1.73,14
6.19,70.15,13.53,6
3.19,68.54,6.98,6
8.0,79.41,4.76,10
4.31,72.71,5.8,7
6.54,76.49,11.45,7
14.0,64.39,8.28,22
6.17,60.88,5.71,14
10.05,72.85,4.96,10
4.65,69.32,5.14,7
6.8,76.76,9.02,6
12.37,70.98,4.66,13
5.34,73.13,8.54,4
12.81,58.37,2.82,21
9.66,86.33,3.23,6
6.01,69.77,5.66,9
9.76,76.53,4.93,13
10.95,64.12,3.4,26
10.07,73.13,2.19,16
3.66,60.1,3.0,6
6.36,74.0,15.76,9
7.98,67.39,3.39,9
8.67,70.32,5.99,14
10.94,75.52,3.39,18
9.79,59.93,4.57,14
5.43,64.16,10.52,10
10.76,73.14,4.85,17
11.64,86.11,4.42,13
11.67,68.07,3.55,18
13.42,73.74,4.7,17
12.87,68.0,7.55,17
11.94,84.24,1.06,13
10.55,54.56,1.9,17
5.97,69.13,7.68,8
12.43,55.21,5.92,22
11.96,48.0,3.7,18
12.35,70.26,7.99,17
7.91,68.84,4.25,20
8.69,65.27,10.42,13
15.3,66.54,3.58,24
12.22,92.01,2.76,12
14.58,64.99,25.28,10
12.83,70.96,9.04,17
13.03,61.52,3.08,21
15.96,68.9,4.27,21
11.8,64.47,3.59,16
13.85,62.92,1.32,21
12.38,80.58,4.48,21
12.66,75.28,6.36,16
13.25,66.78,13.79,13
15.05,47.08,5.29,29
13.15,62.46,3.98,22
18.56,86.8,14.92,15
12.32,63.15,12.89,17
14.65,73.65,6.33,21
14.09,76.19,5.9,12
19.96,66.24,7.49,24
16.42,57.58,3.54,29
19.13,44.66,5.73,41
11.78,69.44,3.43,21
17.24,57.28,13.17,18
19.32,65.04,2.87,25
17.1,53.46,6.69,17
20.25,61.17,6.92,37
15.71,63.39,13.88,18
21.69,65.1,3.94,40
24.56,53.86,3.32,56
16.78,72.19,8.71,26
16.73,57.67,7.95,17
22.62,48.88,18.95,33
23.2,61.24,6.41,31
17.09,62.23,12.99,19
17.59,63.07,12.06,18
18.2,72.52,3.3,23
15.21,59.57,1.53,24
16.68,60.35,4.54,29
16.62,52.32,10.15,17
17.51,67.55,14.03,20
19.9,62.3,0.09,33
20.9,57.31,2.86,38
25.03,45.28,7.49,59
17.57,71.92,8.96,13
23.7,50.39,2.51,51
20.28,55.33,3.42,44
20.96,62.78,1.23,41
23.31,50.19,16.08,31
18.09,47.67,6.72,33
22.78,42.48,3.39,49
22.3,65.1,12.43,20
23.45,54.83,6.72,41
23.0,82.47,13.87,35
29.67,50.96,15.16,60
20.55,51.41,2.51,43
21.03,54.12,12.92,29
20.91,60.46,12.61,24
21.27,54.62,8.0,32
21.18,63.15,8.45,26
26.81,50.3,6.38,46
27.66,46.95,2.1,75
21.83,43.5,1.95,48
21.19,39.97,16.51,32
25.24,53.5,6.71,48
22.31,55.12,4.78,36
26.0,52.37,8.81,65
24.84,67.25,3.28,54
19.82,67.02,4.13,41
29.13,54.41,5.93,63
30.0,42.64,3.73,97
22.9,52.35,8.22,40
23.69,51.99,5.26,45
25.83,51.43,8.18,51
26.09,51.01,8.72,55
27.17,51.27,12.22,52
31.34,53.32,4.55,88
24.88,51.24,2.46,64
23.12,57.91,13.87,29
21.47,59.04,1.12,26
23.51,48.8,26.28,23
25.7,66.17,3.55,45
31.27,48.09,5.31,87
24.42,42.92,2.13,63
26.72,58.84,6.3,52
26.08,49.19,3.7,56
29.77,58.23,2.19,81
33.86,36.37,1.75,143
24.75,66.68,3.06,41
24.94,60.87,9.37,45
29.61,43.43,8.27,87
28.58,43.56,2.59,80
32.13,68.72,4.39,76
28.39,49.4,10.94,42
25.61,48.59,4.52,79
28.51,37.09,14.11,52
30.1,52.38,22.24,33
29.28,53.33,3.09,90
28.37,60.85,3.43,64
30.08,43.91,15.52,51
30.41,42.92,4.46,97
31.08,58.67,11.46,56
28.9,63.09,6.68,51
26.47,42.46,4.94,59
27.42,63.67,9.04,27
30.61,55.31,15.66,52
24.55,63.74,12.7,21
28.11,54.44,5.55,64
25.82,34.82,6.82,65
27.08,53.79,11.52,37
30.82,63.49,7.12,81
27.55,47.87,17.18,42
27.1,51.93,0.54,54
22.86,53.64,3.24,55
29.16,31.87,8.53,80
28.83,68.46,4.03,62
33.35,47.9,16.0,54
25.91,59.19,3.43,51
27.45,54.48,6.3,57
27.5,65.26,3.05,56
31.44,58.49,5.4,73
26.38,53.4,1.05,50
27.45,48.17,1.66,73
28.39,61.75,21.45,41
27.06,40.43,5.91,65
25.1,60.63,4.33,46
26.96,46.72,2.13,67
29.53,65.59,2.49,48
23.16,56.92,19.84,19
26.57,60.85,6.19,53
23.99,56.41,12.45,38
29.6,41.81,3.61,106
21.36,49.01,17.97,20
24.16,61.35,3.84,43
26.88,57.37,2.35,55
30.35,65.57,7.99,56
25.36,59.43,1.42,54
23.79,48.55,1.09,65
31.0,50.0,16.01,48
20.91,57.28,3.03,44
18.55,38.04,9.12,37
26.35,70.03,20.36,21
23.41,60.27,6.03,52
21.73,66.65,8.9,35
26.8,44.29,1.07,85
25.29,66.99,2.78,40
22.74,75.0,17.8,20
20.46,46.68,4.36,46
26.78,63.53,1.71,48
25.98,57.48,8.57,47
23.6,45.23,14.36,44
29.29,61.65,3.85,53
20.4,64.49,8.58,28
18.89,53.14,11.17,25
21.24,67.39,5.01,38
23.03,44.86,4.43,48
23.75,46.36,19.86,24
22.14,59.54,1.86,51
23.76,58.78,6.46,47
18.79,52.98,5.36,30
26.71,65.32,5.32,47
21.97,63.23,10.73,37
25.41,65.99,9.04,46
22.91,58.28,7.3,27
23.09,64.22,1.09,37
23.25,55.98,2.57,57
22.71,76.12,4.73,23
23.12,53.34,6.27,37
25.0,76.83,17.65,20
21.42,60.42,6.15,41
22.78,49.28,10.37,41
20.2,71.39,5.52,25
24.61,61.6,9.76,42
18.07,67.56,5.87,23
25.32,70.7,2.18,48
19.6,63.77,8.86,25
15.24,56.48,8.21,22
19.72,69.19,1.46,26
17.1,61.55,5.52,27
21.47,67.19,5.48,35
16.8,44.64,3.48,37
17.22,65.61,2.06,17
12.69,57.09,6.94,23
16.81,75.59,16.5,14
10.69,67.51,9.47,9
13.01,64.62,1.26,28
19.84,66.76,15.62,24
19.72,55.05,14.09,16
18.43,76.19,3.68,19
14.05,79.3,1.36,17
16.61,66.69,3.81,22
16.53,76.44,4.05,18
12.86,59.33,1.48,23
20.64,57.68,6.86,32
18.56,64.55,2.89,27
15.06,67.88,1.81,26
15.6,61.42,4.64,29
15.93,69.04,16.17,15
8.98,67.37,10.85,14
14.16,57.1,7.95,12
12.64,69.41,3.7,11
11.48,72.34,1.49,17
13.43,66.97,2.1,27
19.46,75.0,10.39,23
15.79,56.21,2.86,26
